"key","song_name","artist_full_name","songbook","reference_id"
"0","18 & Life","Skid Row","MT","MTS1208-459"
"1","5:15","Who, The","MT","MTS1208-803"
"2","6, 8, 12","McKnight, Brian","MT","MTS1208-694"
"3","Achy Breaky Heart","Cyrus, Billy Ray","MT","MTS1208-1069"
"4","Achy Breaky Song","Yankovic, 'Weird Al'","MT","MTS1208-344"
"5","Across The Universe","Apple, Fiona","MT","MTS1208-101"
"6","Addicted To Love","Palmer, Robert","MT","MTS1208-1145"
"7","Addicted To Spuds (Addicted","Yankovic, 'Weird Al'","MT","MTS1208-338"
"8","Adia","McLachlan, Sarah","MT","MTS1208-102"
"9","After All","Jarreau, Al","MT","MTS1208-777"
"10","After You've Gone","Sinatra, Frank","MT","MTS1208-939"
"11","Again","Kravitz, Lenny","MT","MTS1208-820"
"12","Against All Odds","Carey, Mariah","MT","MTS1208-691"
"13","Against The Grain","Brooks, Garth","MT","MTS1208-354"
"14","Ahab The Arab","Stevens, Ray","MT","MTS1208-625"
"15","Ain't Goin' Down 'til The Sun","Brooks, Garth","MT","MTS1208-360"
"16","Ain't Got Nothin' But The","Ford, Robin","MT","MTS1208-399"
"17","Ain't No Way To Treat A Lady","Reddy, Helen","MT","MTS1208-785"
"18","Alabama Song","Doors, The","MT","MTS1208-513"
"19","Alimony (Mony Mony)","Yankovic, 'Weird Al'","MT","MTS1208-337"
"20","Alison (My Aim Is True)","Costello, Elvis","MT","MTS1208-382"
"21","All Along The Watchtower","Hendrix, Jimi","MT","MTS1208-414"
"22","All Day And All Of The Night","Kinks, The","MT","MTS1208-676"
"23","All Fired Up","Benatar, Pat","MT","MTS1208-589"
"24","All I Ever Need (Is You)","Cher","MT","MTS1208-143"
"25","All I Have To Do Is Dream","Everly Brothers, The","MT","MTS1208-1123"
"26","All I Want Is Everything","McCready, Mindy","MT","MTS1208-429"
"27","All My Ex's Live In Texas","Strait, George","MT","MTS1208-1070"
"28","All Of Me","Sinatra, Frank","MT","MTS1208-488"
"29","All Or Nothing","Cher","MT","MTS1208-439"
"30","All Or Nothing At All","Sinatra, Frank","MT","MTS1208-945"
"31","All Right Now","Free","MT","MTS1208-668"
"32","All Shook Up","Presley, Elvis","MT","MTS1208-1108"
"33","All Star","Smash Mouth","MT","MTS1208-455"
